Sexo,Coeficiente,Escola,Enem
M,0.0544,Pública,674
M,0,Particular,674.02
M,0.3754,Particular,674.2
M,0.7739,Particular,675.51
M,0,Pública,675.84
M,0.7158,Particular,676.12
F,0.3959,Particular,676.5
M,0.7722,Particular,676.53
M,0.8135,Particular,677.21
M,0.0889,Pública,677.34
M,0.6558,Pública,677.71
M,0,Pública,678.1
M,0.5783,Particular,678.62
F,0,Particular,678.89
F,0.7817,Pública,679
M,0,Pública,679.71
M,0.7019,Particular,680.64
M,0.4255,Particular,680.98
M,0.6053,Particular,681.28
M,0.8239,Particular,681.31
M,0.8189,Particular,681.63
M,0.6795,Pública,681.9
F,0.8308,Pública,681.98
M,0.8719,Particular,682.89
M,0,Particular,683.01
M,0.4115,Particular,683.19
M,0.4501,Pública,683.19
M,0.6572,Pública,683.2
M,0,Particular,683.58
M,0.4692,Particular,683.83
M,0.6963,Particular,684.19
M,0,Particular,684.32
M,0.82,Particular,684.42
M,0.5085,Pública,684.5
M,0.3482,Pública,684.8
M,0.7549,Pública,685.21
M,0,Particular,685.3
M,0.8608,Particular,685.71
M,0.6072,Pública,685.8
M,0.7713,Particular,686.21
M,0.7567,Pública,686.22
F,0.6226,Particular,686.36
F,0,Pública,686.5
M,0.6342,Particular,686.62
M,0,Particular,687.18
M,0.5137,Particular,687.38
M,0,Pública,687.43
M,0.513,Pública,687.76
M,0.608,Particular,688.09
M,0.267,Particular,688.2
M,0,Particular,689.4
M,0.2015,Particular,689.63
M,0.3245,Particular,691.3
M,0,Particular,691.51
M,0.315,Particular,691.6
F,0.7283,Particular,691.77
M,0.8355,Particular,692.16
M,0.2113,Particular,692.29
F,0.564,Particular,692.49
M,0.7563,Pública,692.91
M,0,Particular,692.93
M,0,Particular,692.99
F,0,Particular,693
M,0.6959,Particular,693
M,0.7088,Particular,693.62
M,0.8492,Particular,693.81
F,0.7231,Particular,693.87
F,0.7886,Particular,693.9
M,0.7177,Pública,694.22
M,0.867,Pública,694.22
M,0.7604,Pública,694.43
M,0,Pública,694.74
M,0.5501,Particular,695
M,0.7681,Particular,695.42
M,0.1848,Particular,696
M,0.5425,Particular,696.3
M,0.7325,Pública,696.5
M,0.7006,Particular,697
M,0.6708,Pública,697.01
M,0.8513,Pública,697.27
M,0.8813,Pública,697.49
M,0.5208,Particular,697.76
M,0.5113,Pública,698
M,0.44,Particular,698
M,0.6283,Particular,698.28
M,0.6886,Particular,698.34
F,0,Particular,698.48
M,0,Particular,698.66
M,0.387,Pública,699
M,0.8402,Particular,699.2
M,0.7648,Particular,699.68
M,0.7285,Pública,699.89
M,0.8128,Pública,700.13
M,0.2722,Particular,701.27
M,0.4278,Particular,701.4
F,0.6907,Particular,701.62
M,0.8609,Particular,701.68
M,0.6536,Particular,702.4
M,0.6881,Particular,703
M,0,Particular,703.3
M,0.7144,Particular,703.7
M,0,Particular,703.78
M,0,Pública,703.8
M,0.8183,Particular,703.91
M,0.5291,Particular,704
M,0.3854,Particular,704
M,0.8731,Pública,704.19
M,0.8234,Particular,705.87
M,0,Particular,706.74
M,0,Particular,707
M,0.8829,Pública,707.62
F,0,Particular,707.71
M,0.6402,Particular,707.8
M,0.7521,Particular,707.87
M,0,Particular,708.09
